#Ejemplo de comentario ---------------------------------
1,9,18,37,2023-05-25,57558.65
2,5,2,22,2020-10-22,17860.4
3,14,2,2,2021-01-28,1346.62
4,11,19,32,2020-07-18,96860.23
5,20,9,8,2020-10-13,23259.17
6,13,4,14,2023-01-11,44871.02
7,9,9,28,2023-04-22,57318.39
8,13,12,38,2021-07-02,424.0
9,14,11,22,2022-11-03,94669.5
10,10,8,9,2021-07-23,66558.28
11,16,7,20,2021-10-17,25097.19
12,19,19,37,2020-01-21,74231.65
13,3,2,13,2021-12-11,34005.77
14,20,3,44,2022-10-06,71797.66
15,6,11,16,2020-02-19,33970.79
16,11,11,19,2022-02-15,31638.64
17,5,4,17,2021-07-18,24308.53
18,12,1,19,2021-07-05,15520.52
19,7,7,21,2021-04-30,60610.87
20,15,14,8,2023-04-14,80066.49
